StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q4_1,Q4_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Student Name (First, Last)",How many faculty members do you want to meet with?,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Ilan Adler,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Anil Aswani,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Alper Atamturk,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Ying Cui,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Lee Fleming,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Ken Goldberg,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Paul Grigas,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Xin Guo,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Dorit Hochbaum,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Huiwen Jia,Please pick your time availability - Date 1,Please pick your time availability - Date 2
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_3""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}"
2026-08-13 09:01:00,2026-08-13 09:02:00,IP Address,,100,46,True,2026-08-13 09:02:10,R_SAMPLE_001,Patel,Maya,student01@example.edu,,,,email,EN,Maya Patel,4,10,1,2,3,4,5,6,7,8,9,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:02:00,2026-08-13 09:03:00,IP Address,,100,47,True,2026-08-13 09:03:10,R_SAMPLE_002,Nguyen,Liam,student02@example.edu,,,,email,EN,Liam Nguyen,5,9,10,1,2,3,4,5,6,7,8,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:03:00,2026-08-13 09:04:00,IP Address,,100,48,True,2026-08-13 09:04:10,R_SAMPLE_003,Garcia,Sofia,student03@example.edu,,,,email,EN,Sofia Garcia,6,1,2,3,4,5,6,7,8,9,10,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:04:00,2026-08-13 09:05:00,IP Address,,100,49,True,2026-08-13 09:05:10,R_SAMPLE_004,Kim,Noah,student04@example.edu,,,,email,EN,Noah Kim,3,10,1,2,3,4,5,6,7,8,9,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:05:00,2026-08-13 09:06:00,IP Address,,100,50,True,2026-08-13 09:06:10,R_SAMPLE_005,Hassan,Aisha,student05@example.edu,,,,email,EN,Aisha Hassan,4,9,10,1,2,3,4,5,6,7,8,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:06:00,2026-08-13 09:07:00,IP Address,,100,51,True,2026-08-13 09:07:10,R_SAMPLE_006,Chen,Ethan,student06@example.edu,,,,email,EN,Ethan Chen,5,3,8,2,10,1,4,7,6,9,5,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:07:00,2026-08-13 09:08:00,IP Address,,100,52,True,2026-08-13 09:08:10,R_SAMPLE_007,Martinez,Isabella,student07@example.edu,,,,email,EN,Isabella Martinez,6,7,9,3,6,1,5,4,10,2,8,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:08:00,2026-08-13 09:09:00,IP Address,,100,53,True,2026-08-13 09:09:10,R_SAMPLE_008,Johnson,Lucas,student08@example.edu,,,,email,EN,Lucas Johnson,3,4,5,2,7,6,8,3,9,10,1,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:09:00,2026-08-13 09:10:00,IP Address,,100,54,True,2026-08-13 09:10:10,R_SAMPLE_009,Okafor,Amara,student09@example.edu,,,,email,EN,Amara Okafor,4,10,4,5,7,2,1,8,9,3,6,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:10:00,2026-08-13 09:11:00,IP Address,,100,55,True,2026-08-13 09:11:10,R_SAMPLE_010,Lee,Daniel,student10@example.edu,,,,email,EN,Daniel Lee,5,1,6,2,5,8,7,9,10,3,4,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:11:00,2026-08-13 09:12:00,IP Address,,100,56,True,2026-08-13 09:12:10,R_SAMPLE_011,Singh,Nina,student11@example.edu,,,,email,EN,Nina Singh,6,10,9,7,8,2,6,1,5,3,4,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:12:00,2026-08-13 09:13:00,IP Address,,100,57,True,2026-08-13 09:13:10,R_SAMPLE_012,Rivera,Mateo,student12@example.edu,,,,email,EN,Mateo Rivera,3,6,5,3,4,2,7,1,10,9,8,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
