StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3_1,Q3_2,Q3_4,Q3_5,Q3_6,Q3_7,Q3_8,Q3_9,Q3_10,Q3_11,Q3_12,Q3_13,Q3_14,Q3_15,Q3_16,Q3_17,Q3_18,Q3_19,Q3_20,Q3_21,Q3_22,Q3_23,Q4_1,Q4_2
Start Date,End Date,Response Type,IP Address,Progress,Duration (in seconds),Finished,Recorded Date,Response ID,Recipient Last Name,Recipient First Name,Recipient Email,External Data Reference,Location Latitude,Location Longitude,Distribution Channel,User Language,"Student Name (First, Last)",How many faculty members do you want to meet with?,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Ilan Adler,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Anil Aswani,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Alper Atamturk,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Ying Cui,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Lee Fleming,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Ken Goldberg,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Paul Grigas,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Xin Guo,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Dorit Hochbaum,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Huiwen Jia,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Philip M. Kaminsky,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Phillip Kerger,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Javad Lavaei,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Thibaut Mastrolia,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Daniel Pirutinsky,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Rhonda Righter,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Rajan Udwani,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Chiwei Yan,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Candace Yano,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Zeyu Zheng,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Chenyang Zhong,Based on your previous answer: Please rank the desired professor engagements from most favorite to least. - Pieter Abbeel,Please pick your time availability - Date 1,Please pick your time availability - Date 2
"{""ImportId"":""startDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""endDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""America/Los_Angeles""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID1_TEXT""}","{""ImportId"":""QID2""}","{""ImportId"":""QID3_1""}","{""ImportId"":""QID3_2""}","{""ImportId"":""QID3_4""}","{""ImportId"":""QID3_5""}","{""ImportId"":""QID3_6""}","{""ImportId"":""QID3_7""}","{""ImportId"":""QID3_8""}","{""ImportId"":""QID3_9""}","{""ImportId"":""QID3_10""}","{""ImportId"":""QID3_11""}","{""ImportId"":""QID3_12""}","{""ImportId"":""QID3_13""}","{""ImportId"":""QID3_14""}","{""ImportId"":""QID3_15""}","{""ImportId"":""QID3_16""}","{""ImportId"":""QID3_17""}","{""ImportId"":""QID3_18""}","{""ImportId"":""QID3_19""}","{""ImportId"":""QID3_20""}","{""ImportId"":""QID3_21""}","{""ImportId"":""QID3_22""}","{""ImportId"":""QID3_23""}","{""ImportId"":""QID4_1""}","{""ImportId"":""QID4_2""}"
2026-08-13 09:01:00,2026-08-13 09:02:00,IP Address,,100,46,True,2026-08-13 09:02:10,R_SAMPLE_001,Patel,Maya,student01@example.edu,,,,email,EN,Maya Patel,4,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:02:00,2026-08-13 09:03:00,IP Address,,100,47,True,2026-08-13 09:03:10,R_SAMPLE_002,Johnson,Liam,student02@example.edu,,,,email,EN,Liam Johnson,5,21,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:03:00,2026-08-13 09:04:00,IP Address,,100,48,True,2026-08-13 09:04:10,R_SAMPLE_003,Novak,Sofia,student03@example.edu,,,,email,EN,Sofia Novak,6,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:04:00,2026-08-13 09:05:00,IP Address,,100,49,True,2026-08-13 09:05:10,R_SAMPLE_004,Nguyen,Noah,student04@example.edu,,,,email,EN,Noah Nguyen,3,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:05:00,2026-08-13 09:06:00,IP Address,,100,50,True,2026-08-13 09:06:10,R_SAMPLE_005,Okafor,Aisha,student05@example.edu,,,,email,EN,Aisha Okafor,4,21,22,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:06:00,2026-08-13 09:07:00,IP Address,,100,51,True,2026-08-13 09:07:10,R_SAMPLE_006,Zhang,Ethan,student06@example.edu,,,,email,EN,Ethan Zhang,5,9,19,1,7,21,22,4,12,16,13,11,6,10,15,2,20,17,3,8,18,5,14,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:07:00,2026-08-13 09:08:00,IP Address,,100,52,True,2026-08-13 09:08:10,R_SAMPLE_007,Garcia,Isabella,student07@example.edu,,,,email,EN,Isabella Garcia,6,18,9,12,17,14,5,1,19,6,15,8,20,16,7,4,22,3,11,13,10,2,21,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
2026-08-13 09:08:00,2026-08-13 09:09:00,IP Address,,100,53,True,2026-08-13 09:09:10,R_SAMPLE_008,Lee,Lucas,student08@example.edu,,,,email,EN,Lucas Lee,3,4,6,7,15,9,2,5,10,14,11,8,12,16,3,21,1,19,22,18,17,13,20,"Time 1,Time 2,Time 3","Time 1,Time 2,Time 3"
